# Enu [eV]    E^2*flux [GeV cm^-2 s^-1 sr^-1]  ALL FLAVOURS
1.153e14	2.800e-10
1.328e14	3.432e-10
1.478e14	4.068e-10
1.703e14	4.986e-10
1.895e14	5.909e-10
2.344e14	7.752e-10
2.901e14	1.017e-9
5.901e14	2.005e-9
7.838e14	2.458e-9
1.158e15	2.913e-9
1.335e15	3.118e-9
1.539e15	3.337e-9
2.621e15	3.822e-9
3.482e15	4.091e-9
6.145e15	4.091e-9
1.010e16	3.822e-9
1.391e16	3.571e-9
1.603e16	3.337e-9
1.983e16	3.118e-9
3.260e16	2.543e-9
4.649e16	2.543e-9
5.753e16	2.913e-9
6.871e16	3.225e-9
8.502e16	3.695e-9
1.090e17	4.378e-9
1.398e17	5.188e-9
1.729e17	5.942e-9
2.140e17	6.806e-9
2.556e17	7.536e-9
3.162e17	8.632e-9
3.645e17	9.239e-9
4.201e17	9.887e-9
4.842e17	1.058e-8
5.581e17	1.133e-8
6.906e17	1.212e-8
7.959e17	1.297e-8
1.021e18	1.388e-8
1.405e18	1.486e-8
2.151e18	1.590e-8
3.178e18	1.537e-8
4.375e18	1.486e-8
6.464e18	1.388e-8
8.588e18	1.297e-8
1.101e19	1.212e-8
1.363e19	1.133e-8
1.627e19	1.058e-8
1.943e19	9.887e-9
2.240e19	9.239e-9
2.772e19	8.632e-9
3.195e19	8.066e-9
3.953e19	7.042e-9
4.556e19	6.579e-9
5.638e19	5.744e-9
7.489e19	4.686e-9
1.068e20	3.571e-9
1.470e20	2.458e-9
1.885e20	1.811e-9
2.173e20	1.478e-9
2.689e20	1.052e-9
2.886e20	9.186e-10
3.099e20	8.020e-10
3.327e20	7.002e-10
3.572e20	6.113e-10
3.834e20	5.337e-10
4.117e20	4.659e-10
4.420e20	3.801e-10
4.745e20	3.318e-10
5.094e20	2.707e-10
5.469e20	2.363e-10
5.871e20	1.928e-10
6.303e20	1.469e-10
6.767e20	1.198e-10
7.265e20	9.451e-11
7.800e20	7.451e-11
8.374e20	5.876e-11
8.990e20	4.477e-11
