  1.12201650E+16  3.84486998E-10
  1.41253636E+16  3.71069037E-10
  1.77827945E+16  3.60306007E-10
  2.23872314E+16  3.59348995E-10
  2.81838782E+16  3.74216991E-10
  3.54812767E+16  4.09971973E-10
  4.46683213E+16  4.72727024E-10
  5.62341314E+16  5.69363001E-10
  7.07946417E+16  7.04858005E-10
  8.91252529E+16  8.88021934E-10
  1.12201648E+17  1.12406995E-09
  1.41253632E+17  1.41686984E-09
  1.77827933E+17  1.76460002E-09
  2.23872318E+17  2.15781992E-09
  2.81838795E+17  2.57484989E-09
  3.54812780E+17  2.98383007E-09
  4.46683196E+17  3.34422001E-09
  5.62341339E+17  3.60951002E-09
  7.07946400E+17  3.73621978E-09
  8.91252512E+17  3.69591002E-09
  1.12201650E+18  3.49127016E-09
  1.41253627E+18  3.13675996E-09
  1.77827946E+18  2.68237010E-09
  2.23872305E+18  2.17532992E-09
  2.81838778E+18  1.67252001E-09
  3.54812760E+18  1.21308996E-09
  4.46683196E+18  8.24856017E-10
  5.62341319E+18  5.23231014E-10
  7.07946400E+18  3.05592995E-10
  8.91252526E+18  1.62817995E-10
  1.12201643E+19  7.80780995E-11
  1.41253632E+19  3.28811006E-11
  1.77827941E+19  1.20051009E-11
  2.23872310E+19  3.65600996E-12
  2.81838783E+19  9.13659014E-13
  3.54812776E+19  1.66468998E-13
  4.46683196E+19  2.16356999E-14
  5.62341352E+19  2.21504007E-15
